X,Y,D
3.98631e-05,0.000274039,6.21807e-05
0.000387186,0.000920821,6.40479e-05
0.000205672,0.000137836,5.18408e-05
0.000553952,0.00115703,4.16137e-05
0.000747687,0.000680205,5.58961e-05
0.000433204,0.00140152,5.19867e-05
6.60381e-05,0.00014818,3.89739e-05
0.000440992,0.00114389,3.68177e-05
4.56869e-05,0.000680066,4.71403e-05
9.04758e-05,0.000734987,5.4229e-05
0.00055994,0.00101143,3.75354e-05
0.000744463,0.00142602,4.18427e-05
0.000438893,0.000210247,6.67328e-05
0.000535061,0.000732591,4.93939e-05
0.000570859,0.00152944,5.83789e-05
0.000617059,0.000485074,5.3091e-05
7.58013e-05,0.00124856,4.71965e-05
0.000288424,0.00108181,5.39665e-05
0.000612676,0.00165955,4.29386e-05
0.000316523,0.000460227,4.54387e-05
0.000783928,0.00122693,4.60266e-05
0.000610363,0.00111225,5.64888e-05
9.49011e-05,0.0010802,6.53324e-05
0.000709833,0.000501608,4.61484e-05
0.000370345,0.00129759,5.95015e-05
0.000401637,0.000445292,3.06135e-05
0.00024804,0.000641135,5.83751e-05
0.000165951,0.000846266,5.15554e-05
0.000719639,0.00152764,3.72892e-05
8.57216e-05,0.0015203,6.59789e-05
0.000281456,0.00165247,5.37111e-05
0.000413939,0.000491025,4.018e-05
0.000108568,0.0015898,4.82836e-05
9.57063e-05,0.00086914,4.35537e-05
0.000731878,0.000915953,5.03952e-05
0.000391575,0.00157886,4.41277e-05
0.000623122,0.00139644,3.2067e-05
0.000134795,8.75787e-05,4.7321e-05
0.000561215,0.00146161,5.53907e-05
0.000516601,0.00124879,4.66507e-05
0.00071276,0.00043791,5.8517e-05
0.000428552,0.00101488,4.14056e-05
0.000680507,0.000726274,5.82569e-05
0.000174902,0.000309797,6.07749e-05
0.000472763,0.00135548,5.31113e-05
6.48883e-05,0.000923533,6.59053e-05
0.000606528,0.000955989,4.53961e-05
0.0007144,0.00106926,5.74225e-05
0.000677522,0.000319545,3.71605e-05
0.000200971,0.00121411,4.50129e-05
0.000138628,0.000208676,4.52248e-05
0.000247799,6.68354e-05,5.52962e-05
0.000353596,0.000105325,3.75805e-05
0.000221538,0.000353604,4.65091e-05
0.000280325,0.00149183,3.6711e-05
0.000533652,0.00030434,5.36469e-05
0.000333476,0.000867583,5.63961e-05
0.000151582,0.00100854,5.52591e-05
0.0006802,0.00101326,4.31994e-05
0.000763375,0.000958508,4.33095e-05
0.00015205,0.00164709,5.59492e-05
0.00034941,0.000290613,3.94508e-05
0.000467647,0.000468428,5.33161e-05
0.000409802,0.000810017,4.49129e-05
0.000767681,0.000265162,4.396e-05
0.00019113,0.00057663,5.34071e-05
0.000533042,0.00106407,3.6012e-05
0.000400652,0.000689574,4.82451e-05
0.000710546,0.000210584,6.62844e-05
0.000142174,0.00132444,5.90412e-05
0.000384655,0.000625433,5.30373e-05
0.000382378,0.00136602,2.99239e-05
0.000745401,0.00111245,3.27423e-05
0.000202862,0.0011575,5.17004e-05
0.000691774,0.000821675,5.79379e-05
0.000658985,0.00128042,5.02693e-05
0.000664389,0.00117264,4.56693e-05
0.000258952,0.00092833,5.41308e-05
0.000353395,0.000991667,4.2534e-05
0.000581803,0.00135276,5.10526e-05
0.000574906,0.00125765,5.12239e-05
0.000556363,0.000383682,5.02025e-05
0.000145268,0.00078796,5.47768e-05
0.000789087,0.000409438,5.43264e-05
0.000377624,0.000570961,3.94134e-05
0.000429601,0.00148298,3.7303e-05
0.000650722,0.000650635,5.51945e-05
0.00050661,6.29592e-05,6.28467e-05
4.05228e-05,0.00130864,5.53633e-05
0.000590658,0.000576514,5.93172e-05
0.000356193,0.00116218,5.62923e-05
0.000201573,0.00019267,5.42146e-05
0.000334307,0.00159688,4.87764e-05
0.000254953,0.00131431,5.17957e-05
4.84268e-05,0.00037122,7.22628e-05
0.000173806,0.00139731,5.59469e-05
0.000234607,0.000438562,3.00273e-05
0.000116826,0.00041569,4.54284e-05
0.000519545,0.000152982,6.27652e-05
0.000281263,0.00119013,4.88025e-05
0.000485133,0.000593422,4.83176e-05
0.000691294,0.00137298,6.70829e-05
0.000461541,0.00125326,3.50346e-05
0.000279165,0.000280156,5.44225e-05
0.000440119,0.000562911,3.6232e-05
0.000485231,0.000897151,3.26988e-05
0.000366132,0.000479255,3.71941e-05
0.000320224,0.000695544,5.56804e-05
0.000333556,0.00051222,3.90055e-05
9.91248e-05,0.000658024,3.19616e-05
0.000551962,0.000890465,5.08488e-05
0.000755305,0.000804644,5.85723e-05
0.000751829,0.000580355,4.42002e-05
0.000498499,0.00165224,5.77562e-05
0.000153748,0.0011422,4.79251e-05
5.1179e-05,0.000504026,6.14429e-05
0.000526776,0.000942372,5.48397e-05
0.00077449,0.000459734,5.01696e-05
0.000610747,0.00033794,6.00178e-05
4.30786e-05,0.000861054,5.54949e-05
0.000100377,0.000324887,5.17275e-05
0.000723914,0.00132418,3.60312e-05
0.000605307,0.000765518,3.96388e-05
4.46596e-05,0.00100468,4.27907e-05
0.000451838,0.000690247,3.32017e-05
0.000203299,0.00068386,4.44053e-05
0.00051457,0.00112439,5.08374e-05
0.000252116,0.00137728,6.13178e-05
0.00062742,0.000417744,3.67061e-05
0.00016123,0.00122871,3.56244e-05
0.000264788,0.000143571,5.56699e-05
0.000153686,0.000522939,5.94092e-05
4.11123e-05,0.00144218,7.26648e-05
0.00059946,0.00115708,2.83621e-05
0.000445964,0.000119367,4.55582e-05
0.000182436,0.000628326,4.00505e-05
0.000504926,0.00104147,3.42862e-05
0.00067454,0.00163249,4.83236e-05
0.000543833,0.000249913,5.52243e-05
0.000366935,0.000195001,5.62201e-05
0.000560426,0.000667,5.87848e-05
0.000673104,0.000261303,5.00738e-05
0.000776958,0.000109772,3.74298e-05
0.000622541,0.00156766,3.43081e-05
0.000622296,0.000867928,5.62085e-05
0.000207723,0.000968915,4.11162e-05
0.000433021,0.00130637,6.35647e-05
0.000289047,0.000780839,4.83139e-05
0.000751498,0.00161734,5.72734e-05
0.000133646,0.000910457,4.92717e-05
0.000119512,0.00141862,4.67209e-05
0.000314058,0.000931682,4.93884e-05
0.000756283,0.000337902,4.41544e-05
0.00067169,0.00123303,4.32778e-05
0.000620745,0.000161511,6.24272e-05
0.00010725,0.0011899,3.42121e-05
0.000326388,0.000385439,5.59181e-05
0.000216008,0.000764987,4.85515e-05
0.000395402,0.00145023,3.78696e-05
0.000446162,0.000756157,6.42343e-05
0.000345483,0.00165357,4.01315e-05
0.000696813,0.000564308,4.29711e-05
0.000524159,0.000816536,5.75986e-05
0.000745583,0.00117553,5.95481e-05
0.000657353,0.000934954,2.96401e-05
0.000473635,0.000318656,5.02076e-05
0.000688757,0.000895256,4.37362e-05
0.000568791,9.87529e-05,4.96306e-05
0.000146415,0.00154684,4.7562e-05
5.98038e-05,0.0011761,4.74781e-05
0.000617169,0.00121248,5.11884e-05
9.84137e-05,0.00101277,4.76514e-05
0.000669355,0.00154381,4.95036e-05
0.000433143,0.000853197,3.82811e-05
0.000442299,0.00118808,4.94449e-05
0.000455407,0.00104651,3.75719e-05
6.64072e-05,0.000457169,3.43481e-05
0.000502642,0.00156963,4.80467e-05
0.0003008,0.000540867,4.30825e-05
0.000777717,0.00145575,4.5381e-05
0.000328086,0.00148653,5.4384e-05
0.000361047,0.000726544,4.40603e-05
0.000533073,0.000559024,4.66784e-05
8.54022e-05,0.00137484,6.31087e-05
0.000751608,0.000739101,4.58616e-05
0.000655566,0.00147765,3.42261e-05
0.000718782,0.001478,5.76254e-05
0.000778878,0.00107557,5.85136e-05
0.000418241,0.0012561,3.76499e-05
0.000403187,0.00109216,7.0151e-05
0.000239882,0.000531092,7.00184e-05
0.000258451,0.000731883,5.40057e-05
0.000322597,0.000142669,4.93943e-05
0.00035985,0.00141535,4.98388e-05
0.000486216,0.000656893,2.11559e-05
0.000526812,0.000625441,3.81055e-05
0.000249374,0.00159623,6.40329e-05
0.000491747,0.000265166,3.60817e-05
0.000226887,0.0014914,4.74197e-05
0.00051183,0.00141395,3.82075e-05
6.42943e-05,0.000628445,5.4279e-05
0.000719328,0.00166178,4.42889e-05
0.00047101,0.00150591,4.12351e-05
0.000401046,0.000266865,6.37313e-05
0.000546409,0.000509469,4.50658e-05
0.000682562,9.83609e-05,6.41558e-05
0.000167921,0.000422599,5.37688e-05
9.52781e-05,0.00167196,4.78351e-05
0.000607951,0.00025902,3.89045e-05
0.000241512,0.000839063,4.37886e-05
0.000337812,0.00123873,6.18154e-05
0.000138008,0.000615601,4.0909e-05
0.0005578,0.000193098,4.62865e-05
0.000486435,0.000420734,4.88773e-05
