X,Y,D
0.000142931,0.00128101,7.97199e-06
0.000404942,0.000936146,6.55986e-05
0.000230504,0.000168134,6.35884e-05
0.000560087,0.00116315,3.82126e-05
0.000749991,0.000701957,7.05666e-05
0.000447036,0.00140638,5.75628e-05
9.21113e-05,0.000173743,5.40138e-05
0.000455084,0.00115375,5.99276e-05
6.4932e-05,0.000692024,3.87889e-05
0.00012336,0.000755515,7.04789e-05
0.000565449,0.00101866,3.51736e-05
0.000746152,0.00142976,4.85556e-05
0.000449505,0.000230618,4.48672e-05
0.000542533,0.000745201,4.31839e-05
0.000579355,0.00153199,5.68695e-05
0.000622206,0.000501039,4.32927e-05
0.000104324,0.00125647,5.98883e-05
0.00030807,0.00109256,5.84914e-05
0.000619835,0.00165982,5.87787e-05
0.000327457,0.000473199,3.44574e-05
0.000784278,0.00123249,4.00797e-05
0.000614984,0.00111878,3.74758e-05
0.000126342,0.00109268,6.78114e-05
0.000713245,0.000523132,5.91884e-05
0.00038403,0.00130326,4.85639e-05
0.000417195,0.000467999,5.95796e-05
0.000269205,0.000659838,5.83792e-05
0.000187891,0.000859783,5.26464e-05
0.000721999,0.00152974,4.61117e-05
0.000110614,0.00152283,5.29953e-05
0.000297017,0.00165277,4.5703e-05
0.000143316,0.00159179,7.6432e-05
0.000124649,0.000884741,6.24944e-05
0.000343513,0.000523623,4.14079e-05
0.000733994,0.0009275,4.91097e-05
0.000402529,0.00158007,4.09055e-05
0.000630645,0.00140208,6.54727e-05
0.000146568,0.000100826,2.69226e-05
0.000570084,0.00146537,5.69389e-05
0.000526734,0.00125601,5.47008e-05
0.000715967,0.000459976,5.75534e-05
0.000439459,0.00102404,4.4817e-05
0.000683706,0.000738485,4.15403e-05
0.000412647,0.000549692,6.93216e-05
0.000195208,0.00033071,4.94251e-05
0.000482872,0.00136014,4.72012e-05
9.25572e-05,0.000936855,5.72295e-05
0.000614022,0.000969249,5.95382e-05
0.000717444,0.00107971,5.5725e-05
0.000681483,0.000340616,5.01545e-05
0.000215369,0.00121933,3.65787e-05
0.000164784,0.000236019,6.01597e-05
0.000265158,9.06942e-05,4.78613e-05
0.000365752,0.000125523,4.15118e-05
0.000239084,0.000372513,4.61688e-05
0.000296854,0.00149457,4.84398e-05
0.000541522,0.000323559,4.52389e-05
0.000562624,0.000697027,4.26377e-05
0.000349752,0.000880881,5.31665e-05
0.000169656,0.0010173,4.24045e-05
0.000683928,0.00102315,4.82829e-05
0.00076407,0.000965434,3.12086e-05
0.000169403,0.00164743,4.07411e-05
0.000371308,0.000322398,7.40746e-05
0.00048102,0.000491415,6.14737e-05
0.000422114,0.000822918,4.81394e-05
0.000768636,0.000286612,4.90872e-05
0.000208598,0.00059149,4.36552e-05
0.000540028,0.00107165,4.00639e-05
0.000416484,0.000708041,6.04775e-05
0.00072526,0.000764554,5.24504e-05
0.000713546,0.000234402,5.24719e-05
0.00015447,0.00132753,2.84348e-05
0.000399517,0.000643182,5.45716e-05
0.00039339,0.00136986,4.02143e-05
0.000694585,0.000832356,4.04031e-05
0.000663718,0.00128675,5.18906e-05
0.000668316,0.0011796,4.4802e-05
0.000277169,0.000940188,5.12669e-05
0.000372743,0.00100564,6.60366e-05
0.000581795,0.00126371,4.69461e-05
0.000565995,0.00040793,6.05865e-05
0.000161031,0.000798025,3.66245e-05
0.000789396,0.00043223,5.811e-05
0.000441096,0.00148579,4.73666e-05
0.000657488,0.000672853,6.9996e-05
0.00023075,0.00167261,7.79019e-05
0.00051704,9.01269e-05,5.43677e-05
6.13121e-05,0.00131336,4.16153e-05
0.000597729,0.000594171,5.18694e-05
0.000367522,0.00116836,3.8913e-05
0.000348776,0.00159801,4.73467e-05
0.00026415,0.00118638,5.58865e-05
